Name,Longitude,Latitude
E01005133,-2.220078,53.485352
E01005135,-2.207105,53.530433
E01005136,-2.213259,53.528084
E01005138,-2.205967,53.526566
E01005139,-2.19905,53.528979
E01005140,-2.219443,53.5214
E01005141,-2.194219,53.522883
E01005142,-2.245131,53.508168
E01005143,-2.237199,53.503252
E01005145,-2.238701,53.507388
E01005146,-2.230263,53.506309
E01005147,-2.242171,53.501767
E01005149,-2.239129,53.510227
E01005150,-2.279162,53.442536
E01005151,-2.288586,53.443558
E01005152,-2.283447,53.445204
E01005153,-2.280224,53.43856
E01005154,-2.274422,53.440296
E01005155,-2.286428,53.439343
E01005156,-2.269814,53.438365
E01005157,-2.279078,53.434787
E01005158,-2.274646,53.434553
E01005159,-2.279452,53.447626
E01005160,-2.246241,53.524679
E01005161,-2.237105,53.521444
E01005162,-2.251862,53.520587
E01005163,-2.241924,53.51991
E01005164,-2.232649,53.518623
E01005165,-2.24523,53.516951
E01005166,-2.237665,53.515249
E01005167,-2.232602,53.513506
E01005168,-2.219888,53.413092
E01005169,-2.226648,53.407666
E01005170,-2.230791,53.403132
E01005171,-2.221958,53.405196
E01005172,-2.236635,53.420467
E01005173,-2.239896,53.417785
E01005174,-2.226885,53.419776
E01005175,-2.222301,53.41761
E01005176,-2.22955,53.416713
E01005177,-2.235216,53.414841
E01005178,-2.239056,53.44721
E01005179,-2.253045,53.446744
E01005180,-2.23276,53.445766
E01005181,-2.252602,53.442275
E01005182,-2.243166,53.448115
E01005183,-2.24031,53.443252
E01005184,-2.226161,53.443093
E01005185,-2.217074,53.443118
E01005186,-2.185117,53.466054
E01005187,-2.159516,53.468069
E01005188,-2.159407,53.466458
E01005189,-2.174201,53.464496
E01005190,-2.168411,53.466804
E01005191,-2.167374,53.463629
E01005192,-2.158895,53.458174
E01005193,-2.158442,53.45645
E01005194,-2.189489,53.450375
E01005195,-2.177507,53.455654
E01005196,-2.170746,53.453255
E01005197,-2.171061,53.458807
E01005198,-2.184425,53.45571
E01005199,-2.186938,53.448247
E01005200,-2.179145,53.445358
E01005201,-2.177827,53.460076
E01005202,-2.208638,53.509168
E01005203,-2.217232,53.507089
E01005205,-2.213573,53.512328
E01005206,-2.218273,53.516398
E01005207,-2.207166,53.51575
E01005208,-2.249783,53.462925
E01005209,-2.234844,53.461321
E01005210,-2.240002,53.467835
E01005212,-2.242012,53.469093
E01005213,-2.258001,53.467947
E01005214,-2.255308,53.465553
E01005215,-2.182147,53.436555
E01005216,-2.191047,53.439224
E01005217,-2.20119,53.438095
E01005218,-2.20049,53.44179
E01005219,-2.195577,53.445138
E01005220,-2.18595,53.445276
E01005221,-2.189737,53.442701
E01005222,-2.184052,53.440989
E01005223,-2.200837,53.515629
E01005224,-2.200142,53.510948
E01005225,-2.190951,53.509603
E01005226,-2.194229,53.512325
E01005227,-2.204189,53.509197
E01005228,-2.192612,53.506243
E01005229,-2.192079,53.517011
E01005230,-2.208754,53.458133
E01005231,-2.214909,53.458103
E01005232,-2.195805,53.460026
E01005233,-2.192355,53.455262
E01005234,-2.198013,53.453918
E01005235,-2.191639,53.457807
E01005236,-2.208785,53.455727
E01005237,-2.202013,53.45351
E01005238,-2.198823,53.450303
E01005239,-2.206552,53.463278
E01005240,-2.242012,53.452654
E01005241,-2.23376,53.450076
E01005242,-2.232737,53.453372
E01005243,-2.254116,53.457533
E01005244,-2.232673,53.456549
E01005245,-2.246438,53.456801
E01005246,-2.241552,53.455232
E01005247,-2.163357,53.515257
E01005248,-2.174653,53.51288
E01005249,-2.180555,53.512192
E01005250,-2.174889,53.519217
E01005251,-2.173118,53.523587
E01005252,-2.180689,53.521953
E01005253,-2.167873,53.519146
E01005254,-2.159362,53.518449
E01005255,-2.178144,53.494313
E01005256,-2.185406,53.501739
E01005257,-2.189404,53.495303
E01005258,-2.173485,53.500289
E01005259,-2.176848,53.498279
E01005260,-2.168279,53.495013
E01005261,-2.182648,53.496406
E01005262,-2.293886,53.410826
E01005263,-2.251804,53.403589
E01005264,-2.274059,53.411857
E01005265,-2.279058,53.409592
E01005266,-2.284576,53.413139
E01005267,-2.261389,53.410097
E01005268,-2.256689,53.40703
E01005269,-2.26327,53.403055
E01005270,-2.23665,53.437309
E01005271,-2.223498,53.439237
E01005272,-2.242834,53.434132
E01005273,-2.228752,53.436204
E01005274,-2.234731,53.43386
E01005275,-2.23779,53.429737
E01005276,-2.233193,53.430963
E01005277,-2.232754,53.426227
E01005278,-2.231879,53.439762
E01005279,-2.243413,53.439005
E01005280,-2.205555,53.448494
E01005281,-2.216461,53.447143
E01005282,-2.201003,53.446092
E01005283,-2.21096,53.441347
E01005284,-2.224752,53.457968
E01005285,-2.228456,53.454207
E01005286,-2.217041,53.453333
E01005287,-2.206526,53.452583
E01005288,-2.226617,53.451623
E01005289,-2.25297,53.386535
E01005290,-2.24903,53.384897
E01005291,-2.255487,53.381372
E01005292,-2.247373,53.380407
E01005293,-2.254132,53.377647
E01005294,-2.247185,53.375283
E01005295,-2.252891,53.392547
E01005296,-2.273834,53.448042
E01005297,-2.260362,53.447983
E01005298,-2.268448,53.448987
E01005299,-2.268001,53.446362
E01005300,-2.261489,53.441067
E01005301,-2.268121,53.442315
E01005302,-2.26289,53.454274
E01005304,-2.223896,53.4339
E01005305,-2.217368,53.432278
E01005306,-2.228281,53.42405
E01005307,-2.22427,53.430304
E01005308,-2.219818,53.427133
E01005309,-2.219601,53.437697
E01005310,-2.211606,53.439722
E01005311,-2.211024,53.435922
E01005312,-2.215621,53.436974
E01005313,-2.265262,53.377008
E01005314,-2.263592,53.373504
E01005315,-2.269092,53.372097
E01005316,-2.274733,53.375545
E01005317,-2.253737,53.368447
E01005318,-2.259375,53.368976
E01005319,-2.276848,53.378175
E01005320,-2.107906,53.530028
E01005321,-2.095507,53.532878
E01005322,-2.108956,53.526846
E01005323,-2.107303,53.519619
E01005324,-2.102804,53.521065
E01005325,-2.101454,53.52497
E01005326,-2.102146,53.535874
E01005327,-2.148595,53.544399
E01005328,-2.140361,53.540063
E01005329,-2.166956,53.544648
E01005330,-2.157762,53.539802
E01005331,-2.143975,53.537392
E01005332,-2.148035,53.533486
E01005333,-2.164721,53.549029
E01005334,-2.152995,53.550139
E01005335,-2.162815,53.551327
E01005336,-2.156416,53.552169
E01005337,-2.134649,53.551511
E01005338,-2.138937,53.547774
E01005339,-2.147241,53.555887
E01005340,-2.143465,53.553031
E01005341,-2.153747,53.529093
E01005342,-2.138519,53.527509
E01005343,-2.148883,53.528616
E01005344,-2.145464,53.527903
E01005345,-2.16722,53.525446
E01005346,-2.161994,53.522904
E01005347,-2.153152,53.524382
E01005348,-2.115699,53.550004
E01005349,-2.123067,53.546916
E01005350,-2.117226,53.545965
E01005351,-2.131494,53.548316
E01005352,-2.132641,53.544507
E01005353,-2.126442,53.541357
E01005354,-2.125329,53.550834
E01005355,-2.100835,53.572534
E01005356,-2.105253,53.56949
E01005357,-2.105046,53.586777
E01005358,-2.099891,53.582724
E01005359,-2.112125,53.583829
E01005360,-2.112969,53.580717
E01005361,-2.103467,53.577716
E01005362,-2.143037,53.513143
E01005363,-2.153353,53.510329
E01005364,-2.145941,53.510877
E01005365,-2.138619,53.506478
E01005366,-2.149852,53.506152
E01005367,-2.149271,53.501941
E01005368,-2.151031,53.514969
E01005369,-2.166057,53.509437
E01005370,-2.168335,53.503789
E01005371,-2.161583,53.510111
E01005372,-2.158022,53.50545
E01005373,-2.157566,53.501605
E01005374,-2.164977,53.501118
E01005375,-2.157816,53.497668
E01005376,-2.139342,53.521
E01005377,-2.124606,53.516931
E01005378,-2.135893,53.519473
E01005379,-2.129639,53.518557
E01005380,-2.132087,53.511511
E01005381,-2.131688,53.525818
E01005382,-2.128205,53.521575
E01005383,-2.087474,53.52985
E01005386,-2.085555,53.526431
E01005387,-2.069374,53.547315
E01005388,-2.068902,53.543033
E01005389,-2.068674,53.533636
E01005390,-2.130563,53.569959
E01005391,-2.134635,53.564559
E01005392,-2.126569,53.566223
E01005393,-2.132814,53.561254
E01005394,-2.13383,53.58137
E01005395,-2.127691,53.575248
E01005396,-2.134881,53.573874
E01005397,-2.103469,53.56367
E01005398,-2.119357,53.56009
E01005399,-2.109763,53.5657
E01005400,-2.117805,53.564188
E01005401,-2.127922,53.557645
E01005402,-2.118343,53.556313
E01005403,-2.121402,53.570513
E01005406,-2.037263,53.537636
E01005407,-2.025545,53.536491
E01005408,-2.009221,53.534056
E01005409,-2.001734,53.535016
E01005410,-1.996948,53.56815
E01005411,-2.005889,53.556985
E01005412,-2.015815,53.554465
E01005413,-2.052432,53.535339
E01005414,-2.039244,53.589013
E01005415,-2.023614,53.570477
E01005416,-2.02314,53.564307
E01005417,-2.060078,53.546383
E01005418,-2.063356,53.542752
E01005419,-2.064465,53.53838
E01005420,-2.058534,53.540468
E01005421,-2.087582,53.552663
E01005422,-2.092854,53.55454
E01005427,-2.101422,53.537832
E01005428,-2.089065,53.540937
E01005429,-2.097117,53.537097
E01005430,-2.090827,53.53699
E01005431,-2.08559,53.536962
E01005432,-2.105859,53.550544
E01005433,-2.110744,53.54643
E01005434,-2.112346,53.531831
E01005435,-2.119648,53.530585
E01005436,-2.122093,53.527129
E01005437,-2.117389,53.528984
E01005438,-2.114385,53.525084
E01005439,-2.120971,53.522343
E01005440,-2.105556,53.514293
E01005441,-2.089685,53.586208
E01005442,-2.084193,53.584645
E01005443,-2.079306,53.581857
E01005444,-2.093567,53.581394
E01005445,-2.093003,53.579239
E01005446,-2.083812,53.577883
E01005447,-2.095648,53.574181
E01005448,-2.085176,53.546091
E01005449,-2.077995,53.547543
E01005450,-2.086877,53.543096
E01005451,-2.083039,53.540062
E01005452,-2.067044,53.566193
E01005453,-2.075323,53.56104
E01005454,-2.077163,53.552997
E01005455,-2.082077,53.553901
E01005456,-2.083322,53.549328
E01005459,-2.12098,53.536246
E01005460,-2.138162,53.533931
E01005461,-2.122947,53.534016
E01005462,-2.129648,53.529481
E01005463,-2.134734,53.532791
E01005464,-2.155816,53.599123
E01005465,-2.143821,53.597
E01005466,-2.155711,53.594281
E01005467,-2.150055,53.592606
E01005468,-2.137623,53.590001
E01005469,-2.142747,53.60178
E01005470,-2.154958,53.606769
E01005471,-2.162308,53.604506
E01005472,-2.173396,53.60594
E01005473,-2.166816,53.605111
E01005474,-2.181281,53.60418
E01005475,-2.155718,53.604351
E01005476,-2.18378,53.591751
E01005477,-2.179434,53.592007
E01005478,-2.171597,53.590163
E01005479,-2.172976,53.582137
E01005480,-2.180386,53.600327
E01005481,-2.186745,53.598693
E01005482,-2.161241,53.618751
E01005483,-2.164713,53.61946
E01005484,-2.163415,53.610378
E01005485,-2.158886,53.60983
E01005486,-2.15848,53.624765
E01005487,-2.16822,53.621425
E01005488,-2.189948,53.630084
E01005489,-2.160864,53.634351
E01005490,-2.155545,53.634012
E01005491,-2.169214,53.634685
E01005492,-2.17762,53.635961
E01005493,-2.17375,53.630834
E01005494,-2.1643,53.629461
E01005495,-2.157432,53.62938
E01005496,-2.184045,53.629811
E01005497,-2.227326,53.598342
E01005498,-2.214546,53.5958
E01005499,-2.227339,53.602245
