Name,masterpc,Latitude,Longitude
S00101709,G66 4QE,55.930977,-4.1554991
S00107961,FK2 9EW,56.008092,-3.7701894
S00108868,FK2 0BJ,55.976571,-3.7153647
S00096169,FK10 1LB,56.114285,-3.8108502
S00099755,DD2 2NS,56.464342,-2.9966095
S00116540,G51 2NW,55.858019,-4.3008632
S00113987,G32 8EH,55.829805,-4.1551348
S00134776,EH48 2GZ,55.889205,-3.6940619
S00134938,EH48 2AD,55.89773,-3.6566083
S00115260,G46 8LG,55.810846,-4.3150757
S00133947,EH54 6UN,55.896259,-3.5293539
S00090035,AB16 7BR,57.16581,-2.1451072
S00100658,KA17 0LP,55.609869,-4.2597396
S00121158,IV30 8RD,57.629349,-3.2827067
S00093688,DD9 6BQ,56.738035,-2.6611615
S00109161,KY11 9SA,56.037151,-3.3530521
S00122661,KA15 2BE,55.753246,-4.6301403
S00092797,AB41 9BF,57.360715,-2.0804022
S00090615,AB15 4TN,57.137144,-2.1298113
S00111610,KY2 6NF,56.127432,-3.190435
S00098890,DD3 9LN,56.492807,-3.0196396
S00125736,ML5 2RP,55.895039,-4.0582442
S00097019,G81 4PF,55.916165,-4.4305626
S00116268,G51 4ET,55.85682,-4.3368096
S00108144,FK2 0EB,55.973868,-3.7351165
S00125908,ML5 5JH,55.849493,-4.0388536
S00111828,KY3 0BG,56.060665,-3.2322201
S00100761,KA18 1HN,55.44718,-4.2626188
S00115362,G51 3AJ,55.864088,-4.3165491
S00108407,FK6 5DD,56.018139,-3.9173722
S00101963,EH21 8BS,55.937389,-3.0161873
S00100149,KA1 2NG,55.61508,-4.5124043
S00121376,IV30 1LP,57.646371,-3.3125603
S00093338,DD11 3LW,56.56062,-2.6155493
S00131892,ML3 6BA,55.778014,-4.0358518
S00095291,TD1 1HD,55.616778,-2.8135684
S00124181,ML1 3RH,55.798959,-4.0131889
S00104852,EH9 3AH,55.928034,-3.1749181
S00120959,EH20 9PD,55.877715,-3.1748521
S00111469,KY15 5JJ,56.308973,-3.0118099
S00111880,KY1 2RR,56.112713,-3.1564826
S00097365,DG7 3HQ,55.011609,-3.8950103
S00091271,AB51 0EA,57.335116,-2.3789889
